IMAGES,HE,BBHE,MMBEBHE,DSIHE,RMSHE,RSIHE,RSWHE_M,RSWHE_D
baby.bmp        ,18.8884694501112,19.0989031513603,18.8216748961873,19.0429880217863,20.7434872377322,20.750022035642,17.3470818093139,17.1562977981219
babyincradle.png,5.36305354734094,9.59451495479409,5.28713318879304,8.6157729341077,13.9763558310965,12.1353578823731,10.0581940351454,9.42696527440519
bacteria.tif    ,15.6769527311617,15.4945864197835,15.612215703712,15.523265061837,16.9222342956713,16.7290763544005,13.737054463615,13.6777499076599
fl1.bmp         ,10.5804162813474,13.8864777228472,14.4982202675183,14.3288516402966,16.4170251892519,16.1684890138786,16.8249570031203,13.8326323837546
foggy_ (2).jpg  ,16.5220599965784,18.2134546445505,21.9983069599189,18.1467954427252,21.8396835434454,22.3130764905037,19.0987798051836,19.1398997174897
foggy_ (3).jpg  ,15.9745466104404,19.857701403952,21.3028111062338,19.3387336002682,21.4314790102965,20.151352576924,20.6814859761141,20.4422054038508
foggy_ (4).jpg  ,19.1546518849195,21.9178636178236,20.3221596528168,21.6225407789119,24.3932306994363,24.1682643045349,18.1339173009552,17.367183859245
foggy_ (6).jpg  ,14.5016265629498,14.8496846446941,14.0226669769425,15.0355712477504,14.644500483179,14.5687546815901,11.98257507536,11.8960732147675
foggy_ (7).jpg  ,16.9874891199362,19.1012938842077,16.0362239287779,18.6882969741558,18.2168906080577,17.4275777324102,14.5946142082315,13.8966002551891
foggy_ (9).jpg  ,14.854894345475,16.120754841267,21.7503940287391,16.2685039612378,18.5776933216924,18.278732237992,18.3224476316919,18.2309276486811
lenna.jpg       ,16.4550472506132,19.0479153981352,16.4729378595416,18.7670388556627,22.2500601527477,21.8199464897439,16.4356331735265,15.8584446091988
mixedfruit.bmp  ,14.8511084941357,20.679113506423,20.3379137681769,20.6539606405718,23.6874230499942,23.6551063558289,24.4340416410437,24.5369029510841
puppy.jpg       ,8.69497142724027,15.3715053780591,16.1038527215711,12.9197997697962,24.7335311394507,20.8615466968709,23.5694636364421,18.1667756348855
AVERAGE         ,14.5004067463269,17.1718284282998,17.1205008506869,16.8424706868544,19.8333534278501,19.1559463732841,17.324634289211,16.4329737429487
