IMAGES,HE,BBHE,MMBEBHE,DSIHE,RMSHE,RSIHE,RSWHE_M,RSWHE_D
baby.bmp        ,0.784831607692281,0.832618309455609,0.865185234367917,0.819767983359004,0.865560853604596,0.866826862831996,0.827105459421916,0.820854365383948
babyincradle.png,0.060545821133008,0.234922079793273,0.0594748680734093,0.19212168222328,0.281591311233031,0.226384935235008,0.200670235873057,0.180368125817767
bacteria.tif    ,0.711903406824839,0.7159083124382,0.714385343129662,0.706355870588173,0.779241823671872,0.765669233680076,0.742194746604139,0.734812893326553
fl1.bmp         ,0.166958243192095,0.480610871001826,0.732423869995728,0.588115275265595,0.729459565810573,0.76306201459252,0.794244978466628,0.736255869776834
foggy_ (2).jpg  ,0.786882467325838,0.797214143154235,0.85882822262165,0.796485732287225,0.869499730159755,0.859095570254311,0.889187610567305,0.886070146724584
foggy_ (3).jpg  ,0.73981524395251,0.827389863359729,0.838905264390851,0.800703726196023,0.734384508335349,0.7090455909141,0.833388487821158,0.813727481895219
foggy_ (4).jpg  ,0.317085109038792,0.835498555684359,0.786972975894585,0.81733170676865,0.862878935427615,0.873844654945999,0.893045182364816,0.876069085342004
foggy_ (6).jpg  ,0.656801610276009,0.654022784861719,0.736435153969767,0.648347819454713,0.715712904861646,0.707393054804291,0.686563163006047,0.674676346471455
foggy_ (7).jpg  ,0.616372574278516,0.746052872972901,0.655647887184209,0.721818736705415,0.664028964351152,0.647262166683424,0.717698076056313,0.688283494110233
foggy_ (9).jpg  ,0.642642241894998,0.66134097939695,0.833322587086257,0.683881338820447,0.631378258363878,0.63706487854331,0.675652236762963,0.678597040016014
lenna.jpg       ,0.86659883260733,0.874543374249418,0.86519101928551,0.874009598391062,0.852100449965344,0.863927229125709,0.838274007967037,0.837269762900746
mixedfruit.bmp  ,0.226807264103887,0.690383443107352,0.708646578454362,0.684401833826624,0.904266463565088,0.901267395867763,0.808858938906595,0.805046353770113
puppy.jpg       ,0.399269826950104,0.411633569413095,0.43000509452638,0.362481132723532,0.642142345203735,0.509794201470341,0.64413005186659,0.510528869980049
AVERAGE         ,0.536654942251554,0.674010704529897,0.698878776844638,0.668909418200749,0.73324970111951,0.717741368380681,0.734693321206505,0.710966141193501
