IMAGES,HE,BBHE,MMBEBHE,DSIHE,RMSHE,RSIHE,RSWHE_M,RSWHE_D
baby.bmp        ,7.98157754110311,7.97667682375959,7.79180647333218,7.97795935926769,7.75074668934386,7.77221890445229,7.66617341088972,7.63717977428916
babyincradle.png,4.69832745267562,4.58954264516367,4.68692182985,4.69946244474542,4.3233102041639,4.29775879207421,4.2633107886554,4.3888440890349
bacteria.tif    ,6.65887363033781,6.64205237817559,6.64530428445675,6.64234632096189,6.63826673394898,6.64141825412971,6.0600967224316,6.02481489459385
fl1.bmp         ,7.88250804062986,7.83445666821216,7.7437593907773,7.8841514785886,7.42182755806019,7.68318405780678,7.68842491454749,7.66096197505518
foggy_ (2).jpg  ,7.68452216931047,7.72586789187998,7.54804498752798,7.7288603815049,7.55757328788453,7.53663946801249,7.02847648822286,7.0200154694229
foggy_ (3).jpg  ,7.47055954292702,7.50685532921422,7.42057451101914,7.52900172034738,7.3039503901731,7.33404465731908,6.81590012286773,6.8321807365115
foggy_ (4).jpg  ,7.98355424035196,7.9753345597459,7.97751766054579,7.97674986150699,7.62942522689817,7.70287439930089,7.73537483441135,7.66479943416635
foggy_ (6).jpg  ,7.99330437636559,7.9883396351723,7.89718532838818,7.98160795334602,7.89680537879068,7.91492549482101,7.65518899178295,7.64779593542563
foggy_ (7).jpg  ,7.979768309802,7.94619605658716,7.86117044197085,7.95570283184505,7.83352396159917,7.87184277116805,7.73916749457171,7.64696812248725
foggy_ (9).jpg  ,7.98861215256005,7.95382778412425,7.68496252959676,7.94718110095668,7.80123723358944,7.81389858916643,7.30597770275646,7.30920189956061
lenna.jpg       ,7.98469093562686,7.93808350024246,7.97864580608912,7.94588760623795,7.60204632831166,7.66914369517006,7.81313523822952,7.80539189810732
mixedfruit.bmp  ,7.85961543966174,7.86747350319768,7.84651033272575,7.86547098232096,7.46601335430187,7.48639424129848,7.70144649574548,7.70730322014818
puppy.jpg       ,5.69098517410001,5.71929686742692,5.75554646812703,5.70851326382237,5.13418160571642,5.26737544540959,5.4749040485764,5.88066883541028
AVERAGE         ,7.37360761580401,7.35876951099245,7.29522692649283,7.37253040811168,7.10453138098323,7.15320913616377,6.99596748105297,7.01739432955485
